id,firstName,lastName,email,phoneNumber,address,employeeType,positionLevel,role,sssNumber,philHealthNumber,tin,pagIbigNumber,compensation
10018,Allison,San Jose,allison.sanjose@motorph.com,179-075-129,"08 Grant Drive Suite 406, Poblacion, Iloilo City 9186 La Union",Regular,Rank and File,Employee,45-3251383-0,745148459521,121-203-336-000,114901859343,22500.00
10019,Cydney,Rosario,cydney.rosario@motorph.com,868-819-912,"93A/21 Berge Points, Tapaz 2180 Quezon",Regular,Rank and File,Employee,49-1629900-2,579253435499,122-244-511-000,265104358643,22500.00
10020,Mark,Bautista,mark.bautista@motorph.com,683-725-348,"65 Murphy Center Suite 094, Poblacion, Palayan 5636 Quirino",Regular,Rank and File,Employee,49-1647342-5,399665157135,273-970-941-000,260054585575,23250.00
10021,Darlene,Lazaro,darlene.lazaro@motorph.com,740-721-558,"47A/94 Larkin Plaza Apt. 179, Poblacion, Caloocan 2751 Quirino",Probationary,Rank and File,Employee,45-5617168-2,606386917510,354-650-951-000,104907708845,2350.00
10022,Kolby,Delos Santos,kolby.delossantos@motorph.com,739-443-033,"06A Gulgowski Extensions, Bongabon 6085 Zamboanga del Sur",Probationary,Rank and File,Employee,52-0109570-6,357451271274,187-500-345-000,113017988667,24000.00
10023,Vella,Santos,vella.santos@motorph.com,955-879-269,"99A Padberg Spring, Poblacion, Mabalacat 3959 Lanao del Sur",Probationary,Rank and File,Employee,52-9883524-3,548670482885,101-558-994-000,360028104576,22500.00
10024,Tomas,Del Rosario,tomas.delrosario@motorph.com,882-550-989,"80A/48 Ledner Ridges, Poblacion, Kabankalan 8870 Marinduque",Probationary,Rank and File,Employee,45-5866331-6,953901539995,560-735-732-000,913108649964,22500.00
10025,Jacklyn,Tolentino,jacklyn.tolentino@motorph.com,675-757-366,"96/48 Watsica Flats Suite 734, Poblacion, Malolos 1844 Ifugao",Probationary,Rank and File,Employee,47-1692793-0,753800654114,841-177-857-000,210546661243,24000.00
10026,Percival,Gutierrez,percival.gutierrez@motorph.com,512-899-876,"58A Wilderman Walks, Poblacion, Digos 5822 Davao del Sur",Probationary,Rank and File,Employee,40-9504657-8,797639382265,502-995-671-000,210897095686,24750.00
10027,Garfield,Manalaysay,garfield.manalaysay@motorph.com,948-628-136,"60 Goyette Valley Suite 219, Poblacion, Tabuk 3159 Lanao del Sur",Probationary,Rank and File,Employee,45-3298166-4,810909286264,336-676-445-000,211274476563,24750.00
10028,Lizeth,Villegas,lizeth.villegas@motorph.com,332-372-215,"66/77 Mann Views, Luisiana 1263 Dinagat Islands",Probationary,Rank and File,Employee,40-2400719-4,934389652994,210-395-397-000,122238077997,24000.00
10029,Carol,Ramos,carol.ramos@motorph.com,250-700-389,"72/70 Stamm Spurs, Bustos 4550 Iloilo",Probationary,Rank and File,Employee,60-1152206-4,351830469744,395-032-717-000,212141893454,22500.00
10030,Emelia,Maceda,emelia.maceda@motorph.com,973-358-041,"50A/83 Bahringer Oval Suite 145, Kiamba 7688 Nueva Ecija",Probationary,Rank and File,Employee,54-1331005-0,465087894112,215-973-013-000,515012579765,22500.00
10031,Delia,Aguilar,delia.aguilar@motorph.com,529-705-439,"95 Cremin Junction, Surallah 2809 Cotabato",Probationary,Rank and File,Employee,52-1859253-1,136451303068,599-312-588-000,110018813465,22500.00
10032,John Rafael,Castro,john.castro@motorph.com,332-424-955,"Hi-way, Yati, Liloan Cebu",Regular,Sales and Marketing,Employee,26-7145133-4,601644902402,404-768-309-000,697764069311,52670.00
10033,Carlos Ian,Martinez,carlos.martinez@motorph.com,078-854-208,"Bulala, Camalaniugan",Regular,Supply Chain and Logistics,Employee,11-5062972-7,380685387212,256-436-296-000,993372963726,52670.00
10034,Beatriz,Santos,beatriz.santos@motorph.com,526-639-511,"Agapita Building, Metro Manila",Regular,Customer Service and Relations,Employee,20-2987501-5,918460050077,911-529-713-000,874042259378,52670.00
10035,Samantha,Bernardo,samantha.bernardo@motorph.com,123-123-123,224 San Luis Antipolo City,Regular,Managerial,Employee,12-4506057-3,820126853950,442-605-605-000,691295330870,40000.00
